carrier_name,bk_original_id,bk_transaction_id,booking_status,port_2_port_id,lead_time,transit_time,allocated_container_count,allocated_teu_count,pol_etd_for_most_recent_transaction,pol_etd_for_first_transaction,version_date,next_version,date_replaced,original_version_date
CMA CGM,2071220367,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.87941,,,45677.80002
CMA CGM,2071245211,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.83768,,,45678.24687
CMA CGM,2071048392,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.26255,,,45674.33463
CMA CGM,2071208276,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.22088,,,45677.64582
CMA CGM,2071287683,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.72932,,,45678.53792
CMA CGM,2071335663,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.79598,3,45692.16696,45679.4772
CMA CGM,2071357017,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.71264,,,45679.4767
CMA CGM,2071296252,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.85437,,,45678.58584
CMA CGM,2071907486,2.50202E+21,Confirmed,VNSGN--USLAX,,,1,2,,,45690.02567,2,45691.46616,45690.02567
MSC,2067757665,2.50202E+21,Confirmed,CNYTN--USLAX,-315,384,0.9999,1.9999,45677,45677,45690.15336,,,45631.306
HAPAG-LLOYD,2071870439,2.50202E+21,Confirmed,BDCGP--USLAX,-26,741,1,2,45689.45833,45689.45833,45690.57651,,,45688.86623
HAPAG-LLOYD,2071904814,2.50202E+21,Confirmed,BDCGP--USLAX,-23,1077,0.9996,1.9995,45689.45833,45689.45833,45690.41692,,,45689.82169
MSC,2070847958,2.50202E+21,Confirmed,CNYTN--USLAX,33,360,1,2,45692,45692,45690.65741,,,45672.32927
MSC,2070761002,2.50202E+21,Confirmed,CNYTN--USLAX,33,360,1,2,45692,45692,45690.65289,,,45671.36173
MSC,2070847960,2.50202E+21,Confirmed,CNYTN--USLAX,33,360,1.9998,3.9997,45692,45692,45690.65741,,,45672.32929
HAPAG-LLOYD,217123810,2.50202E+20,Confirmed,CNSHA--USLAX,54,333,1,2,45692.45833,45692.45833,45690.24878,,,45649.81331
HAPAG-LLOYD,217123812,2.50202E+20,Confirmed,CNSHA--USLAX,54,333,1,2,45692.45833,45692.45833,45690.2488,,,45649.81332
HAPAG-LLOYD,217135300,2.50202E+20,Confirmed,CNSHA--USLAX,54,333,1,1,45692.45833,45692.45833,45690.24877,,,45650.44679
HAPAG-LLOYD,217133937,2.50202E+20,Confirmed,CNSHA--USLAX,54,333,1,2,45692.45833,45692.45833,45690.24877,,,45650.35355
